# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
14 1.1 0.0 0.9970759918924333 0.0
14 1.2 0.0 0.9978526704554262 0.0
14 1.3 0.0 0.9984695725085364 0.0
14 1.4 0.0 0.9989517422667158 0.0
14 1.5 0.0 0.9993203554475686 0.0
14 1.6 0.0 0.9995933312682831 0.0
14 1.7 0.0 0.9997858491414151 0.0
14 1.8 0.0 0.999910783304081 0.0
14 1.9 0.0 0.9999790674381189 0.0
14 2.0 0.0 1.0 0.0
14 2.1 0.0 0.9999814996213872 0.0
14 2.2 0.0 0.9999303186473485 0.0
14 2.3 0.0 0.9998522216937237 0.0
14 2.4 0.0 0.9997521350472679 0.0
14 2.5 0.0 0.9996342718062159 0.0
14 2.6 0.0 0.9995022368594881 0.0
14 2.7 0.0 0.9993591151203363 0.0
14 2.8 0.0 0.9992075458523777 0.0
14 2.9 0.0 0.9990497854401458 0.0
14 3.0 0.0 0.9988877605499878 0.0
14 Inf 0.0 0.9943540643801421 0.0
12 0.0 0.0 0.005821737727533164 0.0
12 0.0001 0.0 0.9788759463859779 0.0
12 0.001 0.0 0.9789105037794286 0.0
12 0.01 0.0 0.9792533252391278 0.0
12 0.1 0.0 0.9824196189876574 0.0
12 0.2 0.0 0.9854320651435222 0.0
12 0.3 0.0 0.9879852657747648 0.0
12 0.4 0.0 0.9901447890971751 0.0
12 0.5 0.0 0.9919671228150486 0.0
12 0.6 0.0 0.9935007947546484 0.0
12 0.7 0.0 0.9947874096886539 0.0
12 0.8 0.0 0.9958625879337786 0.0
12 0.9 0.0 0.9967568013602912 0.0
12 1.0 0.0 0.9974961088786075 0.0
12 1.1 0.0 0.9981027973172442 0.0
12 1.2 0.0 0.9985959356783798 0.0
12 1.3 0.0 0.9989918516409572 0.0
12 1.4 0.0 0.9993045392994797 0.0
12 1.5 0.0 0.9995460067750672 0.0
12 1.6 0.0 0.9997265717167705 0.0
12 1.7 0.0 0.9998551119608764 0.0
12 1.8 0.0 0.9999392778219303 0.0
12 1.9 0.0 0.9999856717063301 0.0
12 2.0 0.0 1.0 0.0
12 2.1 0.0 0.999987201503323 0.0
12 2.2 0.0 0.9999515560766412 0.0
12 2.3 0.0 0.999896776619691 0.0
12 2.4 0.0 0.9998260870357569 0.0
12 2.5 0.0 0.9997422884215688 0.0
12 2.6 0.0 0.9996478153713342 0.0
12 2.7 0.0 0.9995447839816511 0.0
12 2.8 0.0 0.9994350328874617 0.0
12 2.9 0.0 0.999320158441892 0.0
12 3.0 0.0 0.999201544969491 0.0
12 Inf 0.0 0.9956539828551363 0.0
10 0.0 0.0 0.06529694194425498 0.0
10 0.0001 0.0 0.9893845429805934 0.0
10 0.001 0.0 0.9894008547215425 0.0
10 0.01 0.0 0.9895627631566528 0.0
10 0.1 0.0 0.9910665781258337 0.0
10 0.2 0.0 0.9925138982705681 0.0
10 0.3 0.0 0.9937563978355821 0.0
10 0.4 0.0 0.9948214006296116 0.0
10 0.5 0.0 0.9957324574716047 0.0
10 0.6 0.0 0.9965098777329376 0.0
10 0.7 0.0 0.9971711892112981 0.0
10 0.8 0.0 0.9977315344795171 0.0
10 0.9 0.0 0.9982040114526783 0.0
10 1.0 0.0 0.998599965325438 0.0
10 1.1 0.0 0.9989292383535999 0.0
10 1.2 0.0 0.9992003832561441 0.0
10 1.3 0.0 0.9994208453361721 0.0
10 1.4 0.0 0.9995971177846297 0.0
10 1.5 0.0 0.9997348740503961 0.0
10 1.6 0.0 0.9998390806387286 0.0
10 1.7 0.0 0.9999140932368115 0.0
10 1.8 0.0 0.999963738657388 0.0
10 1.9 0.0 0.999991384735077 0.0
10 2.0 0.0 1.0 0.0
10 2.1 0.0 0.9999922046850354 0.0
10 2.2 0.0 0.9999703143914322 0.0
10 2.3 0.0 0.999936377538303 0.0
10 2.4 0.0 0.9998922075505552 0.0
10 2.5 0.0 0.9998394105934285 0.0
10 2.6 0.0 0.9997794095367963 0.0
10 2.7 0.0 0.9997134647257859 0.0
10 2.8 0.0 0.999642692043587 0.0
10 2.9 0.0 0.999568078675408 0.0
10 3.0 0.0 0.9994904969172997 0.0
10 Inf 0.0 0.9969276513396539 0.0
8 0.0 0.0 0.13589541794527724 0.0
8 0.0001 0.0 0.9959826441365094 0.0
8 0.001 0.0 0.9959882639462732 0.0
8 0.01 0.0 0.9960440968335598 0.0
8 0.1 0.0 0.9965674112806784 0.0
8 0.2 0.0 0.9970801633414332 0.0
8 0.3 0.0 0.9975288093148651 0.0
8 0.4 0.0 0.9979207599515183 0.0
8 0.5 0.0 0.9982624705678296 0.0
8 0.6 0.0 0.9985595816482317 0.0
8 0.7 0.0 0.9988170369810507 0.0
8 0.8 0.0 0.9990391830970331 0.0
