# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.1 0.8 7.5 0.40558069242387895 0.0004045776733899263
16 0.1 0.8 8.0 0.40359717733037886 0.0004017966761017728
16 0.1 0.8 8.5 0.40023592988596357 0.00039507217152669004
16 0.1 0.8 9.0 0.39778678844144616 0.000370452980727063
16 0.1 0.8 9.5 0.39627300952190436 0.0003329974441083836
16 0.1 0.8 10.0 0.3940539867208456 0.000330045906173487
16 0.1 0.8 10.5 0.3928583152014743 0.0002995180129837141
16 0.1 0.8 11.0 0.3913172901869112 0.0002984833423694063
16 0.1 0.8 11.5 0.3902489293422159 0.00031665587763649326
16 0.1 0.8 12.0 0.38918608185240544 0.000299128873612626
16 0.1 0.8 12.5 0.38865023207785154 0.0002885185670929307
16 0.1 0.8 13.0 0.38785665765126265 0.00030966761030253205
16 0.1 0.8 13.5 0.3876822832710254 0.0002838392667686951
16 0.1 0.8 14.0 0.38618407801944027 0.0003323622684255784
16 0.1 0.8 14.5 0.386455744912012 0.000305467121397705
16 0.1 0.8 15.0 0.3859749013230891 0.00035687214051407986
16 0.1 1.0 0.5 0.5142154735175074 0.00040582068776045
16 0.1 1.0 1.0 0.4956763285980322 0.0008413752321841295
16 0.1 1.0 1.5 0.47962042455895415 0.0008552363328400853
16 0.1 1.0 2.0 0.4667775841148761 0.0007850334302423464
16 0.1 1.0 2.5 0.4594984621614326 0.0007460143813612327
16 0.1 1.0 3.0 0.454179778139078 0.0006983053550122628
16 0.1 1.0 3.5 0.44947960575858603 0.0006167732569385851
16 0.1 1.0 4.0 0.4455311789710432 0.0005616419986705681
16 0.1 1.0 4.5 0.4407797019895062 0.0005210289071436317
16 0.1 1.0 5.0 0.4349555545938754 0.0005004511830594086
16 0.1 1.0 5.5 0.42934198727067574 0.0005126825751252279
16 0.1 1.0 6.0 0.4234883845313703 0.0005721123789234315
