# This file contains the mean IPR and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 for this disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, -log2(IPR), std_error
10 0.1 0.1 2.0 6.2636085419213625 0.0022569681021461724
10 0.1 0.1 2.2 6.286235824980718 0.0014368734742535077
10 0.1 0.1 2.4 6.293929803706957 0.0012542446681508338
10 0.1 0.1 2.6 6.2967443345511755 0.0012273593914847887
10 0.1 0.1 2.8 6.294140136918543 0.0012106663910380548
10 0.1 0.1 3.0 6.279549695775757 0.0012861713837393123
10 0.1 0.3 0.0 4.360649926981268 0.0066811423732017865
10 0.1 0.3 0.2 5.415427356835373 0.0012335711872197774
10 0.1 0.3 0.4 5.508560426752123 0.0014507768353996288
10 0.1 0.3 0.6 6.034920949747098 0.0024750604714737228
10 0.1 0.3 0.8 6.302250515506962 0.0017340916362211815
10 0.1 0.3 1.0 6.2670906617119595 0.0015499108778771395
10 0.1 0.3 1.2 6.252789144831342 0.001429691901394692
10 0.1 0.3 1.4 6.264757476294397 0.0013473172424972263
10 0.1 0.3 1.6 6.259070902248873 0.0015792083499506413
10 0.1 0.3 1.8 6.252550328243882 0.0018292648214180865
10 0.1 0.3 2.0 6.242510578641085 0.0023651878006644422
10 0.1 0.3 2.2 6.193568602669612 0.002991855348286426
10 0.1 0.3 2.4 6.162411724121423 0.0034042607320061862
10 0.1 0.3 2.6 6.109716672441643 0.004376676005857165
10 0.1 0.3 2.8 6.061614526265759 0.004937517788247948
10 0.1 0.3 3.0 6.01051211204629 0.0056439978872187295
10 0.1 0.5 0.0 4.355914821224641 0.006484576903238981
10 0.1 0.5 0.2 5.4201183485549755 0.0016963597497229176
10 0.1 0.5 0.4 5.530698157298654 0.0018895457009287704
10 0.1 0.5 0.6 6.054988314639289 0.002792383267096696
10 0.1 0.5 0.8 6.238142468775186 0.002417469300949347
10 0.1 0.5 1.0 6.213879129422118 0.002408043434962637
10 0.1 0.5 1.2 6.201631343588948 0.0028311546190364707
10 0.1 0.5 1.4 6.147922548750803 0.004391228864468857
10 0.1 0.5 1.6 6.086984183436831 0.005636138696676678
10 0.1 0.5 1.8 6.0046946410109365 0.0071099085258388775
10 0.1 0.5 2.0 5.9359977764716145 0.007478005444277534
10 0.1 0.5 2.2 5.850422506078307 0.008293675037651715
10 0.1 0.5 2.4 5.771761801196361 0.00858408085330022
10 0.1 0.5 2.6 5.6996193871763605 0.009396794705861982
10 0.1 0.5 2.8 5.603987930063773 0.009721540618926942
10 0.1 0.5 3.0 5.539809552829216 0.010471888035484413
10 0.1 0.8 0.0 4.361618318449417 0.0066359410129816
10 0.1 0.8 0.2 5.409170426208006 0.0023060682036518255
10 0.1 0.8 0.4 5.600158559082369 0.003056012827082917
10 0.1 0.8 0.6 6.004179767833907 0.003959469925064365
10 0.1 0.8 0.8 6.04114931901836 0.005866473186975868
10 0.1 0.8 1.0 5.972082171802365 0.007515909289212441
10 0.1 0.8 1.2 5.865501473777284 0.008797143796360669
10 0.1 0.8 1.4 5.754988090190499 0.009641976224137866
10 0.1 0.8 1.6 5.6755188652594 0.009987819422071399
10 0.1 0.8 1.8 5.587059237136087 0.010552958177473518
10 0.1 0.8 2.0 5.486466751366784 0.010587152460546579
10 0.1 0.8 2.2 5.387942012770045 0.01045445832024999
10 0.1 0.8 2.4 5.322027468271215 0.010746600402920274
10 0.1 0.8 2.6 5.2096329390338125 0.010779934822846024
10 0.1 0.8 2.8 5.137382838266232 0.010562703591104354
10 0.1 0.8 3.0 5.058752939061314 0.010563939115338978
10 0.1 1.0 0.0 4.3619748011398585 0.0063007929583426955
10 0.1 1.0 0.2 5.395632684191303 0.003035323963579357
