# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the spin-1 generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
14 2.9 0.0 0.9952312770392999 0.0
14 3.0 0.0 0.9943431683482423 0.0
14 Inf 0.0 0.965311325871444 0.0
12 0.0 0.0 0.000991185216031789 0.0
12 0.1 0.0 0.95655906803683 0.0
12 0.2 0.0 0.961905660554619 0.0
12 0.3 0.0 0.9668275931266012 0.0
12 0.4 0.0 0.9713376443317325 0.0
12 0.5 0.0 0.975449055587105 0.0
12 0.6 0.0 0.9791756528205019 0.0
12 0.7 0.0 0.9825319168475862 0.0
12 0.8 0.0 0.9855330074152415 0.0
12 0.9 0.0 0.988194746232815 0.0
12 1.0 0.0 0.9905335646979555 0.0
12 1.1 0.0 0.9925664223461748 0.0
12 1.2 0.0 0.9943107022451539 0.0
12 1.3 0.0 0.9957840895735754 0.0
12 1.4 0.0 0.9970044394494283 0.0
12 1.5 0.0 0.9979896397075411 0.0
12 1.6 0.0 0.9987574737912488 0.0
12 1.7 0.0 0.9993254882543547 0.0
12 1.8 0.0 0.9997108686095089 0.0
12 1.9 0.0 0.9999303264542289 0.0
12 2.0 0.0 0.9999999999999989 0.0
12 2.1 0.0 0.9999353693616134 0.0
12 2.2 0.0 0.9997511872639473 0.0
12 2.3 0.0 0.9994614252132857 0.0
12 2.4 0.0 0.9990792346726289 0.0
12 2.5 0.0 0.9986169223800911 0.0
12 2.6 0.0 0.9980859386534856 0.0
12 2.7 0.0 0.9974968773257967 0.0
12 2.8 0.0 0.9968594858436517 0.0
12 2.9 0.0 0.9961826840215356 0.0
12 3.0 0.0 0.9954745899641414 0.0
12 Inf 0.0 0.9719880330464408 0.0
10 0.0 0.0 0.004610092566818203 0.0
10 0.1 0.0 0.9666879788140533 0.0
10 0.2 0.0 0.9709619375948886 0.0
10 0.3 0.0 0.9748628969506173 0.0
10 0.4 0.0 0.9784066024686119 0.0
10 0.5 0.0 0.9816091808345027 0.0
10 0.6 0.0 0.9844871010453731 0.0
10 0.7 0.0 0.9870571104608994 0.0
10 0.8 0.0 0.9893361524975152 0.0
10 0.9 0.0 0.9913412720663519 0.0
10 1.0 0.0 0.9930895141354226 0.0
10 1.1 0.0 0.9945978200613659 0.0
10 1.2 0.0 0.9958829255972287 0.0
10 1.3 0.0 0.9969612637546557 0.0
10 1.4 0.0 0.997848874998374 0.0
10 1.5 0.0 0.9985613265941957 0.0
10 1.6 0.0 0.9991136423324118 0.0
10 1.7 0.0 0.9995202433172439 0.0
10 1.8 0.0 0.9997949000560052 0.0
10 1.9 0.0 0.9999506957018129 0.0
10 2.0 0.0 1.0000000000000004 0.0
10 2.1 0.0 0.9999544532571423 0.0
10 2.2 0.0 0.9998249594866011 0.0
10 2.3 0.0 0.9996216877783736 0.0
10 2.4 0.0 0.9993540808851642 0.0
10 2.5 0.0 0.9990308700026017 0.0
10 2.6 0.0 0.9986600947407056 0.0
10 2.7 0.0 0.9982491273284828 0.0
10 2.8 0.0 0.9978047001565761 0.0
10 2.9 0.0 0.997332935838357 0.0
10 3.0 0.0 0.996839379052316 0.0
10 Inf 0.0 0.9798488830758008 0.0
8 0.0 0.0 0.03571070634093656 0.0
8 0.1 0.0 0.9801206400282861 0.0
8 0.2 0.0 0.982833384694783 0.0
8 0.3 0.0 0.9852715327902608 0.0
8 0.4 0.0 0.9874540418020042 0.0
8 0.5 0.0 0.9893990881528815 0.0
8 0.6 0.0 0.9911240510598731 0.0
8 0.7 0.0 0.9926455016939876 0.0
8 0.8 0.0 0.9939791978150636 0.0
8 0.9 0.0 0.9951400837941672 0.0
8 1.0 0.0 0.9961422957493956 0.0
8 1.1 0.0 0.9969991713934001 0.0
8 1.2 0.0 0.9977232641109857 0.0
8 1.3 0.0 0.9983263607422665 0.0
8 1.4 0.0 0.998819502532333 0.0
8 1.5 0.0 0.9992130087152142 0.0
8 1.6 0.0 0.9995165022218199 0.0
8 1.7 0.0 0.9997389370340132 0.0
8 1.8 0.0 0.9998886267459446 0.0
8 1.9 0.0 0.9999732739364323 0.0
8 2.0 0.0 0.9999999999999976 0.0
8 2.1 0.0 0.9999753751278392 0.0
8 2.2 0.0 0.9999054481718256 0.0
8 2.3 0.0 0.9997957761642989 0.0
8 2.4 0.0 0.9996514533029851 0.0
8 2.5 0.0 0.9994771392437821 0.0
8 2.6 0.0 0.9992770865743669 0.0
8 2.7 0.0 0.9990551673683346 0.0
8 2.8 0.0 0.9988148987433827 0.0
8 2.9 0.0 0.9985594673676904 0.0
8 3.0 0.0 0.9982917528766666 0.0
8 Inf 0.0 0.9882304657441078 0.0
6 0.0 0.0 0.36802626611526623 0.0
6 0.1 0.0 0.9936886798522638 0.0
6 0.2 0.0 0.9945900484397381 0.0
6 0.3 0.0 0.995389065089496 0.0
6 0.4 0.0 0.9960954407520826 0.0
6 0.5 0.0 0.9967179529346257 0.0
6 0.6 0.0 0.9972645445333332 0.0
6 0.7 0.0 0.9977424111047757 0.0
6 0.8 0.0 0.9981580779867872 0.0
6 0.9 0.0 0.9985174685167961 0.0
6 1.0 0.0 0.9988259644464761 0.0
6 1.1 0.0 0.9990884595171883 0.0
6 1.2 0.0 0.999309407040608 0.0
6 1.3 0.0 0.9994928622223809 0.0
6 1.4 0.0 0.9996425198727868 0.0
6 1.5 0.0 0.9997617480658909 0.0
6 1.6 0.0 0.9998536182365401 0.0
6 1.7 0.0 0.9999209321415884 0.0
6 1.8 0.0 0.9999662460569384 0.0
6 1.9 0.0 0.9999918925342774 0.0
6 2.0 0.0 1.0000000000000004 0.0
6 2.1 0.0 0.9999925104428553 0.0
6 2.2 0.0 0.9999711954056578 0.0
6 2.3 0.0 0.9999376704693477 0.0
6 2.4 0.0 0.999893408394239 0.0
6 2.5 0.0 0.9998397510628779 0.0
6 2.6 0.0 0.9997779203512992 0.0
6 2.7 0.0 0.999709028040086 0.0
6 2.8 0.0 0.9996340848633237 0.0
6 2.9 0.0 0.9995540087819101 0.0
6 3.0 0.0 0.9994696325575743 0.0
6 Inf 0.0 0.9955947947881478 0.0
12 0.0 0.1 0.0002563168785098217 0.0003652594632807328
12 0.1 0.1 0.9500661280181002 0.004391763408768435
12 0.2 0.1 0.955991371275329 0.004007574590082144
12 0.3 0.1 0.9614785327983472 0.0036315792820284217
12 0.4 0.1 0.9665376386239696 0.0032655292254642793
12 0.5 0.1 0.9711792322736299 0.0029111693606820484
12 0.6 0.1 0.9754145247413087 0.0025702208541239944
12 0.7 0.1 0.9792554916025905 0.0022443642371024904
12 0.8 0.1 0.9827149211723893 0.001935223425514714
12 0.9 0.1 0.9858064181701381 0.001644351298533924
12 1.0 0.1 0.9885443679428669 0.001373217394580036
12 1.1 0.1 0.9909438668472501 0.0011231981417142193
12 1.2 0.1 0.993020624819622 0.0008955698861529883
12 1.3 0.1 0.994790846409093 0.0006915048270265301
12 1.4 0.1 0.9962710965798978 0.0005120698176636851
12 1.5 0.1 0.997478157396346 0.00035822786220903385
12 1.6 0.1 0.998428881301334 0.00023084202784576105
12 1.7 0.1 0.9991400461186034 0.00013068141142433512
12 1.8 0.1 0.9996282161935808 5.8428746443674466e-5
12 1.9 0.1 0.9999096132870146 1.4689211320098586e-5
12 2.0 0.1 1.0 0.0
12 2.1 0.1 0.9999145776839824 1.4840237206694474e-5
