# This file contains the unique energy values and their degeneracies for the Haldane-Shastry model with system size N=36.
# Columns: energy, degeneracy
 
energy, degeneracy
-31332.0 70165
-31308.0 64560
-31284.0 58524
-31260.0 58660
-31236.0 62504
-31212.0 65040
-31188.0 68808
-31164.0 58472
-31140.0 70312
-31116.0 70012
-31092.0 63728
-31068.0 75264
-31044.0 58940
-31020.0 63600
-30996.0 81924
-30972.0 77208
-30948.0 73232
-30924.0 72344
-30900.0 67752
-30876.0 71766
-30852.0 77396
-30828.0 88320
-30804.0 76221
-30780.0 72368
-30756.0 84664
-30732.0 80408
-30708.0 82992
-30684.0 87136
-30660.0 84657
-30636.0 77832
-30612.0 87340
-30588.0 94400
-30564.0 76992
-30540.0 91822
-30516.0 102648
-30492.0 96788
-30468.0 94516
-30444.0 82744
-30420.0 80369
-30396.0 104440
-30372.0 104568
-30348.0 99800
-30324.0 101548
-30300.0 94558
-30276.0 99672
-30252.0 102472
-30228.0 109712
-30204.0 103800
-30180.0 96872
-30156.0 106862
-30132.0 111360
-30108.0 108982
-30084.0 117108
-30060.0 117056
-30036.0 116289
-30012.0 110688
-29988.0 121664
-29964.0 120110
-29940.0 107736
-29916.0 134820
-29892.0 121356
-29868.0 112224
-29844.0 136856
-29820.0 123080
-29796.0 124320
-29772.0 130988
-29748.0 128684
-29724.0 128392
-29700.0 138080
-29676.0 148944
-29652.0 142466
-29628.0 130160
-29604.0 126224
-29580.0 125890
-29556.0 154488
-29532.0 161638
-29508.0 145716
-29484.0 152016
-29460.0 142432
-29436.0 154768
-29412.0 157456
-29388.0 153264
-29364.0 154284
-29340.0 148420
-29316.0 168340
-29292.0 166448
-29268.0 147884
-29244.0 176344
-29220.0 177220
-29196.0 162656
-29172.0 179744
-29148.0 175656
-29124.0 155468
-29100.0 167000
-29076.0 197552
-29052.0 182560
-29028.0 174012
-29004.0 200904
-28980.0 177092
-28956.0 192934
-28932.0 202300
-28908.0 179048
-28884.0 196221
-28860.0 201768
-28836.0 199784
-28812.0 202538
-28788.0 198800
-28764.0 208380
-28740.0 214165
-28716.0 204240
-28692.0 227960
-28668.0 219472
-28644.0 204428
-28620.0 219748
-28596.0 230392
-28572.0 213030
-28548.0 216792
-28524.0 234824
-28500.0 226188
-28476.0 237880
-28452.0 255992
-28428.0 239558
-28404.0 240528
-28380.0 252560
-28356.0 239080
-28332.0 241096
-28308.0 257916
-28284.0 250672
-28260.0 253944
-28236.0 275708
-28212.0 272260
-28188.0 251576
-28164.0 276284
-28140.0 278624
-28116.0 266828
-28092.0 290142
-28068.0 270648
-28044.0 257740
-28020.0 301044
-27996.0 314652
-27972.0 273589
-27948.0 295752
-27924.0 310052
-27900.0 301936
-27876.0 313888
-27852.0 297078
-27828.0 291848
-27804.0 323150
-27780.0 330832
-27756.0 332896
-27732.0 311482
-27708.0 307904
-27684.0 338896
-27660.0 346708
-27636.0 337272
-27612.0 344690
-27588.0 352008
-27564.0 323608
-27540.0 368748
-27516.0 379880
-27492.0 312000
-27468.0 374014
-27444.0 395968
-27420.0 340422
-27396.0 399772
-27372.0 381816
-27348.0 349900
-27324.0 416664
-27300.0 400784
-27276.0 370820
-27252.0 402556
-27228.0 397680
-27204.0 376297
-27180.0 416928
-27156.0 455220
-27132.0 416958
-27108.0 423008
-27084.0 427666
-27060.0 404328
-27036.0 436944
-27012.0 443584
-26988.0 442128
-26964.0 471445
-26940.0 433278
-26916.0 443796
-26892.0 471760
-26868.0 459620
-26844.0 485078
-26820.0 485168
-26796.0 476712
-26772.0 476456
-26748.0 497096
-26724.0 472940
-26700.0 468278
-26676.0 531824
-26652.0 528590
-26628.0 537112
-26604.0 559616
-26580.0 497861
-26556.0 488912
-26532.0 512764
-26508.0 520974
-26484.0 574736
-26460.0 604668
-26436.0 559108
-26412.0 515472
-26388.0 568824
-26364.0 582462
-26340.0 568928
-26316.0 621796
-26292.0 561492
-26268.0 547624
-26244.0 623940
-26220.0 605960
-26196.0 598621
-26172.0 644224
-26148.0 626504
-26124.0 618724
-26100.0 644960
-26076.0 644414
-26052.0 612402
-26028.0 636888
-26004.0 706928
-25980.0 655256
-25956.0 691640
-25932.0 725330
-25908.0 625724
-25884.0 658682
-25860.0 711212
-25836.0 703192
-25812.0 772100
-25788.0 748782
-25764.0 674256
-25740.0 680570
-25716.0 748108
-25692.0 770568
-25668.0 730804
-25644.0 768736
-25620.0 769740
-25596.0 783686
-25572.0 773452
-25548.0 752606
-25524.0 829072
-25500.0 797438
-25476.0 809976
-25452.0 849016
-25428.0 785273
-25404.0 795430
-25380.0 867040
-25356.0 875284
-25332.0 838528
-25308.0 836992
-25284.0 903453
-25260.0 855536
-25236.0 873040
-25212.0 982366
-25188.0 868008
-25164.0 882338
-25140.0 960484
-25116.0 905326
-25092.0 925164
-25068.0 952864
-25044.0 921469
-25020.0 974030
-24996.0 986740
-24972.0 984974
-24948.0 1015832
-24924.0 952854
-24900.0 972174
-24876.0 1037640
-24852.0 1034488
-24828.0 1029086
-24804.0 1023268
-24780.0 1010922
-24756.0 1086344
-24732.0 1124356
-24708.0 1093968
-24684.0 1116872
-24660.0 1029148
-24636.0 1047192
-24612.0 1161084
-24588.0 1141548
-24564.0 1130040
-24540.0 1177230
-24516.0 1140481
-24492.0 1132728
-24468.0 1239412
-24444.0 1216376
-24420.0 1147228
-24396.0 1161110
-24372.0 1259104
-24348.0 1218376
-24324.0 1218072
-24300.0 1318472
-24276.0 1264133
-24252.0 1226216
-24228.0 1313440
-24204.0 1281456
-24180.0 1248132
-24156.0 1363030
-24132.0 1330028
-24108.0 1334272
-24084.0 1421200
-24060.0 1377588
-24036.0 1302068
-24012.0 1354604
-23988.0 1375616
-23964.0 1381094
-23940.0 1514352
-23916.0 1470384
-23892.0 1412654
-23868.0 1467942
-23844.0 1451416
-23820.0 1474432
-23796.0 1520000
-23772.0 1467478
-23748.0 1512201
-23724.0 1553928
-23700.0 1507880
-23676.0 1627662
-23652.0 1596748
-23628.0 1564608
-23604.0 1649204
-23580.0 1624880
-23556.0 1590056
-23532.0 1570816
-23508.0 1606332
-23484.0 1695916
-23460.0 1711016
-23436.0 1763860
-23412.0 1741768
-23388.0 1616720
-23364.0 1723397
-23340.0 1784440
-23316.0 1798012
-23292.0 1761296
-23268.0 1743428
-23244.0 1835970
-23220.0 1815413
-23196.0 1835288
-23172.0 1856976
-23148.0 1859648
-23124.0 1905392
-23100.0 1981774
-23076.0 1964492
-23052.0 1835666
-23028.0 1847560
-23004.0 1972504
-22980.0 1998609
-22956.0 2034256
-22932.0 2081480
-22908.0 2054470
-22884.0 2001832
-22860.0 2006414
-22836.0 2149112
-22812.0 2034616
-22788.0 2027100
-22764.0 2210848
-22740.0 2126281
-22716.0 2161112
-22692.0 2199896
-22668.0 2119812
-22644.0 2237844
-22620.0 2244000
-22596.0 2279153
-22572.0 2353608
-22548.0 2118168
-22524.0 2306240
-22500.0 2448120
-22476.0 2243140
-22452.0 2394116
-22428.0 2354576
-22404.0 2294664
-22380.0 2498480
-22356.0 2476240
-22332.0 2415100
-22308.0 2532688
-22284.0 2521606
-22260.0 2440272
-22236.0 2500840
-22212.0 2507182
-22188.0 2475568
-22164.0 2676488
-22140.0 2749056
-22116.0 2559876
-22092.0 2671434
-22068.0 2654608
-22044.0 2576432
-22020.0 2717888
-21996.0 2746256
-21972.0 2749722
-21948.0 2764576
-21924.0 2816340
-21900.0 2806408
-21876.0 2790368
